id_choque,tipo_choque,data_choque,hora_choque,latitude_choque,longitude_choque,velocidade_choque,posicao_choque,trecho_choque,forca_maxima_choque,ACT_choque,PEG_choque,id_vagao,id_viagem,tipo_engate
7344,0,16/10/2022,18:44:12,-21.90273616,-48.076239,12.9888,230.73,T2,141.3504435,22.69744049,91.17013893,473,5,F
7345,0,16/10/2022,18:44:12,-21.90274825,-48.07622675,13.1076,230.73,T2,137.1017836,23.14932256,91.15451635,473,5,F
7346,0,16/10/2022,18:44:13,-21.90276456,-48.07621044,13.32,230.7293,T2,142.7341534,23.17041039,91.14315447,473,5,F
7347,0,16/10/2022,18:44:14,-21.9027792,-48.0761958,13.32,230.7232,T2,136.876245,22.86162431,91.12327119,473,5,F
7348,0,16/10/2022,18:44:17,-21.90285663,-48.07611438,13.32,230.7105,T2,136.6933759,23.52137213,91.17297939,473,5,F
7349,0,16/10/2022,18:44:17,-21.9028634,-48.07610738,13.32,230.71,T2,139.7046212,23.97626675,91.1772401,473,5,F
7350,0,16/10/2022,18:44:18,-21.90287612,-48.07609413,13.32,230.71,T2,141.8198077,24.31668458,91.16019729,473,5,F
7351,0,16/10/2022,18:44:19,-21.9028996,-48.07606888,13.32,230.7023,T2,137.5894347,24.51701897,91.12469143,473,5,F
7352,0,16/10/2022,18:44:19,-21.90290201,-48.07606625,13.32,230.70125,T2,136.4129765,24.49141232,91.11474978,473,5,F
7353,0,16/10/2022,18:44:22,-21.90298593,-48.07597513,13.131,230.69,T2,136.7604279,23.59517954,91.1772401,473,5,F
7354,0,16/10/2022,18:44:23,-21.90298926,-48.0759715,13.1832,230.69,T2,136.5105067,23.63584892,91.1772401,473,5,F
7355,0,16/10/2022,18:44:23,-21.90299662,-48.0759635,13.2984,230.69,T2,137.315131,23.28639345,91.15025564,473,5,F
7356,0,16/10/2022,18:44:24,-21.90301336,-48.07594472,13.32,230.69,T2,136.8396712,22.19283884,91.1317926,473,5,F
7357,0,16/10/2022,18:44:25,-21.90304339,-48.07591175,12.9852,230.68065,T2,138.3391982,21.27401196,91.11759025,473,5,F
7358,0,16/10/2022,18:44:27,-21.90309081,-48.07585709,13.32,230.67,T2,136.742141,23.65241793,91.16019729,473,5,F
7359,0,16/10/2022,18:44:27,-21.90309426,-48.07585319,13.32,230.67,T2,139.1316312,23.32555657,91.15167588,473,5,F
7360,0,16/10/2022,18:44:28,-21.90310541,-48.07584058,13.32,230.67,T2,138.9426664,22.8676494,91.17297939,473,5,F
7361,0,16/10/2022,18:44:28,-21.90310955,-48.0758359,13.32,230.67,T2,137.0408273,22.95200072,91.16587822,473,5,F
7362,0,16/10/2022,18:44:28,-21.90312164,-48.075823,13.32,230.67,T2,136.5653675,24.57726991,91.14599494,473,5,F
7363,0,16/10/2022,18:44:30,-21.90315601,-48.07578257,13.32,230.6609,T2,136.8274799,22.32840346,91.11048908,473,5,F
7364,0,16/10/2022,18:44:31,-21.90317912,-48.075758,13.32,230.66,T2,136.1813423,21.68371837,91.11759025,473,5,F
7365,0,16/10/2022,18:44:31,-21.903182,-48.075755,13.32,230.66,T2,137.6138173,21.82681436,91.1360533,473,5,F
7366,0,16/10/2022,18:44:31,-21.90318442,-48.0757519,13.2786,230.66,T2,137.8271646,21.98798563,91.15167588,473,5,F
7367,0,16/10/2022,18:44:32,-21.90319817,-48.07573421,13.0428,230.66,T2,136.4922198,22.46999318,91.16019729,473,5,F
7368,0,16/10/2022,18:44:32,-21.90320038,-48.07573138,13.005,230.66,T2,136.1508641,22.42781752,91.14883541,473,5,F
7369,0,16/10/2022,18:44:32,-21.903203,-48.075728,12.96,230.65995,T2,136.303255,22.22296431,91.15309611,473,5,F
7370,0,16/10/2022,18:44:33,-21.90321609,-48.07571313,13.1742,230.654,T2,139.7777688,21.8584461,91.1857615,473,5,F
7371,0,16/10/2022,18:44:33,-21.90322269,-48.07570563,13.2822,230.651,T2,137.1871226,22.17476355,91.17581986,473,5,F
7372,0,16/10/2022,18:44:33,-21.90322874,-48.07569858,13.32,230.65,T2,137.0895924,22.80137336,91.16445799,473,5,F
7373,0,16/10/2022,18:44:34,-21.90325632,-48.07566607,13.1742,230.65,T2,136.7787148,23.67501204,91.11759025,473,5,F
7374,0,16/10/2022,18:44:35,-21.90325908,-48.07566283,13.131,230.65,T2,138.0161294,23.54245996,91.10906885,473,5,F
7375,0,16/10/2022,18:44:35,-21.90326264,-48.07565864,13.0752,230.65,T2,138.3879633,23.4716651,91.12043072,473,5,F
7376,0,16/10/2022,18:44:35,-21.90326552,-48.07565527,13.0302,230.65,T2,139.4486044,23.3466444,91.11190932,473,5,F
7377,0,16/10/2022,18:44:35,-21.90326816,-48.07565216,12.9888,230.65,T2,137.7235387,23.25777426,91.10338791,473,5,F
7378,0,16/10/2022,18:44:35,-21.90327671,-48.07564238,13.0698,230.6469,T2,136.4983154,23.00923912,91.09628674,473,5,F
7379,0,16/10/2022,18:44:36,-21.90328507,-48.07563288,13.2066,230.6431,T2,138.3879633,22.94898817,91.12043072,473,5,F
7380,0,16/10/2022,18:44:36,-21.90328771,-48.07562988,13.2498,230.6419,T2,140.6433495,22.94898817,91.11474978,473,5,F
7381,0,16/10/2022,18:44:36,-21.90330229,-48.07561177,13.32,230.64,T2,137.7174431,23.25626798,91.13037236,473,5,F
7382,0,16/10/2022,18:44:37,-21.90331586,-48.07559462,13.32,230.63865,T2,136.6141326,22.64020209,91.16019729,473,5,F
7383,0,16/10/2022,18:44:41,-21.9033948,-48.07549616,13.2624,230.62155,T2,137.1444531,23.60572345,91.12043072,473,5,F
7384,0,16/10/2022,18:44:41,-21.90339811,-48.07549187,13.3182,230.62,T2,136.9189145,23.42798317,91.12327119,473,5,F
7385,0,16/10/2022,18:44:42,-21.90341846,-48.07546689,12.9852,230.62,T2,136.0228557,22.43384261,91.16445799,473,5,F
7386,0,16/10/2022,18:44:42,-21.90342088,-48.07546392,12.96,230.62,T2,136.8640537,22.43534888,91.15309611,473,5,F
7387,0,16/10/2022,18:44:43,-21.90344295,-48.07543674,12.9762,230.6195,T2,136.5592718,22.88421841,91.17297939,473,5,F
7388,0,16/10/2022,18:44:43,-21.90344536,-48.07543352,13.0176,230.61835,T2,136.8884363,22.86614313,91.16729846,473,5,F
7389,0,16/10/2022,18:44:43,-21.90344778,-48.0754303,13.059,230.6172,T2,136.6507064,22.86463685,91.17013893,473,5,F
7390,0,16/10/2022,18:44:46,-21.90350522,-48.07535671,12.9636,230.6,T2,136.522698,24.06363062,91.12185096,473,5,F
7391,0,16/10/2022,18:44:46,-21.90350874,-48.07535207,13.0212,230.6,T2,136.0228557,24.19768897,91.11617002,473,5,F
7392,0,16/10/2022,18:44:46,-21.90351292,-48.07534656,13.0896,230.6,T2,136.3215419,24.2699901,91.12753189,473,5,F
7393,0,16/10/2022,18:44:48,-21.9035461,-48.07530317,13.32,230.6,T2,136.0655251,22.27417761,91.1857615,473,5,F
7394,0,16/10/2022,18:44:48,-21.9035486,-48.07529968,13.2912,230.59915,T2,138.5830237,22.28321525,91.17581986,473,5,F
7395,0,16/10/2022,18:44:48,-21.9035512,-48.07529591,13.2444,230.59785,T2,136.9250101,22.24555841,91.1857615,473,5,F
7396,0,16/10/2022,18:44:50,-21.9035899,-48.07524244,13.32,230.59,T2,136.1142902,23.96722911,91.1360533,473,5,F
7397,0,16/10/2022,18:44:50,-21.9035969,-48.07523299,13.32,230.59,T2,139.9850205,23.60421718,91.13321283,473,5,F
7398,0,16/10/2022,18:44:51,-21.9036076,-48.07521854,13.32,230.59,T2,136.9189145,22.19735766,91.11190932,473,5,F
7399,0,16/10/2022,18:44:55,-21.9036811,-48.07511857,13.1202,230.5744,T2,136.0472382,23.01375794,91.12611166,473,5,F
7400,0,16/10/2022,18:44:55,-21.9036832,-48.07511584,13.0824,230.57335,T2,137.4065656,23.24421779,91.13037236,473,5,F
7401,0,16/10/2022,18:44:55,-21.9036942,-48.07510091,12.96,230.57,T2,140.4300021,23.33007539,91.11332955,473,5,F
7402,0,16/10/2022,18:44:56,-21.9037042,-48.07508641,12.96,230.57,T2,136.7787148,22.90379997,91.11759025,473,5,F
7403,0,16/10/2022,18:44:58,-21.90374,-48.0750332,13.176,230.56,T2,136.0411426,22.38413558,91.16019729,473,5,F
7404,0,16/10/2022,18:45:00,-21.9037905,-48.07496125,13.005,230.55,T2,137.2358877,23.10865317,91.12327119,473,5,F
7405,0,16/10/2022,18:45:00,-21.9037928,-48.0749578,13.0464,230.55,T2,136.1508641,23.27584954,91.12043072,473,5,F
7406,0,16/10/2022,18:45:02,-21.90382886,-48.0749057,13.32,230.5495,T2,136.6019413,22.20037021,91.15735682,473,5,F
7407,0,16/10/2022,18:45:04,-21.9038576,-48.0748621,13.32,230.54,T2,136.0228557,24.247396,91.18008057,473,5,F
7408,0,16/10/2022,18:45:05,-21.90388212,-48.07482448,13.32,230.53155,T2,139.9850205,24.17358859,91.12469143,473,5,F
7409,0,16/10/2022,18:45:08,-21.90394299,-48.07473035,12.9798,230.52,T2,137.6442954,21.51049691,91.16871869,473,5,F
7410,0,16/10/2022,18:45:09,-21.90395559,-48.07470935,13.2318,230.52,T2,136.0350469,23.14932256,91.17581986,473,5,F
